participant,TargetHit_L0,TargetHit_L1,TargetHit_L2,TargetMiss_L0,TargetMiss_L1,TargetMiss_L2,LureFA_L0,LureFA_L1,LureFA_L2,LureCR_L0,LureCR_L1,LureCR_L2,FoilFA_L0,FoilFA_L1,FoilFA_L2,FoilCR_L0,FoilCR_L1,FoilCR_L2,Age,age
545d14e8fdf99b7f9e32555b,0.8,0.8,0.75,0.2,0.2,0.25,0.4,0.578947368,0.35,0.6,0.421052632,0.65,0.15,0.3,0.35,0.85,0.7,0.65,25,young
55abb1a5fdf99b501fab62e3,0.7,0.85,0.85,0.3,0.15,0.15,0.578947368,0.75,0.7,0.421052632,0.25,0.3,0.1,0.2,0.25,0.9,0.8,0.75,78,old
56a8d1f77f2472000d94fa3f,0.842105263,0.85,0.75,0.157894737,0.15,0.25,0.8,0.75,0.45,0.2,0.25,0.55,0.1,0.25,0.1,0.9,0.75,0.9,74,old
56cf6e8d31a5bc0006e1cdf5,0.85,0.8,0.5,0.15,0.2,0.5,0.210526316,0.555555556,0.473684211,0.789473684,0.444444444,0.526315789,0.1,0.1,0.2,0.9,0.9,0.8,67,old
574da26c7f1e770007f42d11,0.85,0.8,0.75,0.15,0.2,0.25,0.25,0.5,0.6,0.75,0.5,0.4,0.1,0.1,0.105263158,0.9,0.9,0.894736842,66,old
578bb26f6cc44500010448c8,0.7,0.8,0.6,0.3,0.2,0.4,0.4,0.368421053,0.55,0.6,0.631578947,0.45,0.1,0.25,0.1,0.9,0.75,0.9,67,old
57b6e26a1836cb000137b5ba,0.85,0.9,0.6,0.15,0.1,0.4,0.631578947,0.4,0.611111111,0.368421053,0.6,0.388888889,0.15,0.1,0.2,0.85,0.9,0.8,71,old
57ca4b09993b08000192297b,0.8,0.789473684,0.85,0.2,0.210526316,0.15,0.25,0.3,0.25,0.75,0.7,0.75,0.1,0.1,0.2,0.9,0.9,0.8,26,young
584e7a66e42c2a00013099ac,0.7,0.684210526,0.578947368,0.3,0.315789474,0.421052632,0.3,0.4,0.25,0.7,0.6,0.75,0.1,0.1,0.111111111,0.9,0.9,0.888888889,33,young
58725712327dab000199e1a1,0.736842105,0.8,0.7,0.263157895,0.2,0.3,0.15,0.55,0.5,0.85,0.45,0.5,0.15,0.263157895,0.4,0.85,0.736842105,0.6,29,young
587a48175c17910001ea51d9,0.75,0.65,0.55,0.25,0.35,0.45,0.25,0.3,0.4,0.75,0.7,0.6,0.1,0.1,0.1,0.9,0.9,0.9,31,young
589095a6046bbb0001a52d2d,0.777777778,0.8,0.8,0.222222222,0.2,0.2,0.4,0.45,0.578947368,0.6,0.55,0.421052632,0.1,0.2,0.263157895,0.9,0.8,0.736842105,65,old
